opencore-amr 0.1.6-2
opencv 4.12.0-13
openexr 3.4.3-1
openh264 2.6.0-1
openjpeg2 2.5.4-1
openmpi 5.0.9-1
openpmix 5.0.9-1
openssh 10.2p1-2
openssl 3.6.0-1
openssl-1.1 1.1.1.w-2
openucx 1.19.0-3
opus 1.5.2-1
orc 0.4.41-1
orca 49.4-1
osinfo-db 20250606-1
ostree 2025.6-1
otf-firamono-nerd 3.4.0-1
otf-monaspace-nerd 3.4.0-1
p11-kit 0.25.10-2
pacman 7.0.0.r6.gc685ae6-6
pacman-mirrorlist 20251021-1
pahole 1:1.30-2
pam 1.7.1-1
pambase 20250719-1
pango 1:1.57.0-2
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parted 3.6-2
patch 2.8-1
patchelf 0.18.0-3
pavucontrol 1:6.2-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.0-3
perl 5.42.0-1
perl-clone 0.47-2
perl-encode-locale 1.05-14
perl-error 0.17030-2
perl-file-listing 6.16-5
perl-html-parser 3.83-2
perl-html-tagset 3.24-3
perl-http-cookiejar 0.014-4
perl-http-cookies 6.11-3
perl-http-daemon 6.16-5
perl-http-date 6.06-4
perl-http-message 7.01-1
perl-http-negotiate 6.01-15
perl-io-html 1.004-7
perl-io-tty 1.20-3
perl-ipc-run 20250809.0-1
perl-libwww 6.81-1
perl-lwp-mediatypes 6.04-7
perl-mailtools 2.22-2
perl-net-http 6.24-1
perl-time-duration 1:1.21-2
perl-timedate 2.33-8
perl-try-tiny 0.32-3
perl-uri 5.34-1
perl-www-robotrules 6.02-15
perl-xml-parser 2.47-3
phodav 3.0-4
pinentry 1.3.2-2
pipewire 1:1.4.9-1
pipewire-alsa 1:1.4.9-1
pipewire-audio 1:1.4.9-1
pipewire-jack 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
pixman 0.46.4-1
pkgconf 2.5.1-1
playerctl 2.4.1-4
polkit 126-2
polkit-qt6 0.200.0-1
poppler 25.10.0-1
poppler-data 0.4.12-2
poppler-glib 25.10.0-1
popt 1.19-2
portaudio 1:19.7.0-3
powerline-fonts 2.8.4-3
pps-tools 1.0.3-2
procps-ng 4.0.5-3
protobuf 33.0-2
protobuf-c 1.5.2-7
prrte 3.0.12-1
psmisc 23.7-1
pugixml 1.15-2
python 3.13.7-1
python-argcomplete 3.6.2-1
python-attrs 25.4.0-1
python-autocommand 2.2.2-7
python-cairo 1.28.0-1
python-cffi 2.0.0-1
python-cryptography 46.0.3-1
python-dasbus 1.7-4
python-dbus 1.4.0-1
python-defusedxml 0.7.1-7
python-distutils-extra 2.39-14
python-filelock 3.20.0-1
python-gobject 3.54.5-1
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
